,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
30,2021-02-15 13:50:23.056,0.047002,2.470014,9.621542,-0.003842,0.011551,-0.004609,-19.74107,-4.775316,-41.809753,-89.818678,-14.329272,-0.202932,Sitting
31,2021-02-15 13:50:23.106,0.052092,2.43798,9.725875,0.027104,0.002648,-0.007678,-19.786026,-4.639404,-42.078979,-89.862993,-14.324658,-0.211209,Sitting
32,2021-02-15 13:50:23.156,0.035027,2.466571,9.53592,-0.011213,-0.010636,-0.001211,-19.7108,-4.912989,-41.965546,-89.879014,-14.348566,-0.218177,Sitting
33,2021-02-15 13:50:23.206,0.067061,2.416126,9.686656,-0.012868,0.00624,-0.014454,-19.757252,-4.894875,-41.819489,-89.895434,-14.365503,-0.243828,Sitting
34,2021-02-15 13:50:23.257,0.049098,2.511328,9.662856,0.027328,0.004596,-0.010704,-19.677158,-4.869705,-41.728485,-89.919487,-14.259362,-0.264577,Sitting
35,2021-02-15 13:50:23.307,0.037722,2.465074,9.600735,0.009239,0.000636,-0.014239,-19.734913,-4.776445,-41.952362,-89.906367,-14.316111,-0.256663,Sitting
36,2021-02-15 13:50:23.357,0.047302,2.435735,9.705966,0.022074,-0.000325,-0.034951,-19.784275,-4.650888,-41.961456,-89.917567,-14.331924,-0.25838,Sitting
37,2021-02-15 13:50:23.407,-0.027243,2.45714,9.567804,0.010891,0.007919,-0.002946,-19.691301,-4.822454,-41.744324,-89.873796,-14.374357,-0.257961,Sitting
38,2021-02-15 13:50:23.458,0.099543,2.493664,9.610166,-0.022707,-0.008358,-0.00295,-19.609756,-4.953909,-41.910675,-89.850008,-14.435676,-0.240886,Sitting
39,2021-02-15 13:50:23.508,0.089364,2.46702,9.681567,0.017001,0.009714,-0.024776,-19.704035,-5.143093,-41.872559,-89.860002,-14.367552,-0.287712,Sitting
40,2021-02-15 13:50:23.558,0.03353,2.514321,9.510473,-0.023212,-0.008582,-0.00667,-19.714745,-5.012384,-41.994568,-89.830295,-14.358259,-0.268361,Sitting
41,2021-02-15 13:50:23.608,0.034728,2.40939,9.712702,0.008546,0.01487,-0.016925,-19.877722,-4.853338,-41.655182,-89.822515,-14.348448,-0.331297,Sitting
